______________________________________________________________________________________
| Остаток основного долга | Ежемесячный взнос | Погашение процентов | Погашение долга |
|                  120000 |           5648.82 |                1200 |         4448.82 |
|                  115551 |           5648.82 |             1155.51 |         4493.31 |
|                  111057 |           5648.82 |             1110.57 |         4538.25 |
|                  106518 |           5648.82 |             1065.18 |         4583.64 |
|                  101934 |           5648.82 |             1019.34 |         4629.48 |
|                   97304 |           5648.82 |              973.04 |         4675.78 |
|                   92628 |           5648.82 |              926.28 |         4722.54 |
|                   87905 |           5648.82 |              879.05 |         4769.77 |
|                   83135 |           5648.82 |              831.35 |         4817.47 |
|                   78317 |           5648.82 |              783.17 |         4865.65 |
|                   73451 |           5648.82 |              734.51 |         4914.31 |
|                   68536 |           5648.82 |              685.36 |         4963.46 |
|                   63572 |           5648.82 |              635.72 |          5013.1 |
|                   58558 |           5648.82 |              585.58 |         5063.24 |
|                   53494 |           5648.82 |              534.94 |         5113.88 |
|                   48380 |           5648.82 |               483.8 |         5165.02 |
|                   43214 |           5648.82 |              432.14 |         5216.68 |
|                   37997 |           5648.82 |              379.97 |         5268.85 |
|                   32728 |           5648.82 |              327.28 |         5321.54 |
|                   27406 |           5648.82 |              274.06 |         5374.76 |
|                   22031 |           5648.82 |              220.31 |         5428.51 |
|                   16602 |           5648.82 |              166.02 |          5482.8 |
|                   11119 |           5648.82 |              111.19 |         5537.63 |
|                    5581 |              5581 |               55.81 |         5525.19 |
